SRR1170742,SRR1170744,SRR1170762,SRR1174772,SRR1174773,SRR1174777,SRR1179197,SRR1179198,SRR1179199,SRR1171629,SRR1171630,SRR1171631
LOC_Os01g01350.MSUR7,163,48,1986,848,2613,82,4150,3837,119,496,2155,5815
LOC_Os01g01360.MSUR7,181,309,628,1802,798,12,1087,850,110,438,539,1313
LOC_Os01g01369.MSUR7,917,1304,5150,9378,19382,236,4881,9158,1609,3308,11912,14711
LOC_Os01g01380.MSUR7,195,215,1041,1482,1103,4,3010,4097,311,378,1181,1324
LOC_Os01g01390.MSUR7,917,237,5689,6237,7174,97,2814,8244,331,4942,5102,10734
LOC_Os01g01400.MSUR7,1099,273,4948,6020,8557,73,9089,10375,541,3950,4481,11343
LOC_Os01g01410.MSUR7,1272,609,6498,7787,11166,133,10378,12553,934,5448,9252,14310
LOC_Os01g01420.MSUR7,7986,1279,24611,28753,20944,282,4805,5210,442,30431,13161,31026
LOC_Os01g01430.MSUR7,4,100,13,39,12,22,4,21,168,64,416,22
LOC_Os01g01440.MSUR7,0,1,1,4,0,0,0,1,0,6,6,1
LOC_Os01g01450.MSUR7,8982,1736,68506,95573,88564,528,62753,19002,1644,19032,20638,112814
LOC_Os01g01470.MSUR7,0,0,655,0,18,0,0,2,0,0,0,2511
LOC_Os01g01484.MSUR7,1636,370,3781,9395,5686,80,5042,5979,629,6096,3264,5141
LOC_Os01g01500.MSUR7,0,0,0,0,7,0,0,0,0,0,2,1
LOC_Os01g01510.MSUR7,763,938,7623,7433,8970,132,5987,4339,544,4458,7453,11542
LOC_Os01g01520.MSUR7,2,198,351,206,1220,24,42,142,62,28,5512,2916
LOC_Os01g01570.MSUR7,0,0,4,158,156,0,326,181,24,592,928,2115
LOC_Os01g01580.MSUR7,0,0,0,0,2,0,0,0,0,8,30,161
LOC_Os01g01590.MSUR7,0,0,0,0,0,0,2,0,0,14,41,66
LOC_Os01g01600.MSUR7,6,6,53,48,28,4,201,462,62,202,38,704
LOC_Os01g01610.MSUR7,706,148,3444,5211,2375,42,5498,3273,257,1087,468,1477
LOC_Os01g01620.MSUR7,2392,1543,12089,8668,15641,186,15307,4130,2428,14998,3064,16478
LOC_Os01g01640.MSUR7,2696,1142,17389,18589,25247,293,12823,21604,2121,8339,10147,31386
LOC_Os01g01650.MSUR7,12,13,2825,285,1530,20,569,1726,50,33,4,8793
LOC_Os01g01660.MSUR7,82,12,4038,1262,3286,98,7305,650,26,1003,62,7457
LOC_Os01g01670.MSUR7,505,199,3634,5161,6822,106,3301,3022,184,3712,6633,9357
LOC_Os01g01680.MSUR7,70,76,936,985,1456,4,304,84,3,904,694,949
LOC_Os01g01689.MSUR7,225,601,2667,3445,3144,76,9684,7472,1580,4139,7893,8680
LOC_Os01g01700.MSUR7,3279,992,19805,37714,57714,446,17647,16223,1313,10583,19556,44390
LOC_Os01g01710.MSUR7,35740,2750,26523,83311,31184,365,59355,16600,4762,63662,63034,14187
LOC_Os01g01720.MSUR7,1312,497,5259,13720,8255,103,7400,5412,612,6180,6732,8214
LOC_Os01g01730.MSUR7,0,0,1,1,143,0,36,184,0,2,5,319
LOC_Os01g01740.MSUR7,72,313,2538,680,5097,52,1175,3544,145,404,2331,5192
LOC_Os01g01760.MSUR7,0,0,0,0,0,0,1,0,0,5,10,0
LOC_Os01g01770.MSUR7,12,0,103,92,45,2,552,69,4,6,2,201
LOC_Os01g01780.MSUR7,137,42,1075,876,1022,10,1554,2848,65,446,596,2175
LOC_Os01g01790.MSUR7,4781,878,10357,22969,21676,188,15551,10910,1205,17746,8263,13838
LOC_Os01g01800.MSUR7,931,596,4124,6088,4150,84,3626,5314,713,4075,4060,5868
LOC_Os01g01810.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
LOC_Os01g01830.MSUR7,1790,1019,9056,9824,14250,195,6850,6856,521,6693,7985,14661
LOC_Os01g01840.MSUR7,31,0,25,3,2,4,947,28,0,531,4,39
LOC_Os01g01870.MSUR7,1619,78,566,10322,1916,24,1140,687,326,9260,1297,2680
LOC_Os01g01880.MSUR7,0,0,2,17,4,0,0,2,0,18,0,4
LOC_Os01g01890.MSUR7,8,28,551,102,179,56,170,969,114,150,30,791
LOC_Os01g01910.MSUR7,116,96,525,982,399,24,1,18,0,803,950,690
LOC_Os01g01920.MSUR7,1839,300,5162,17186,8669,153,9083,6961,416,8335,1291,5659
LOC_Os01g01925.MSUR7,18,12,250,43,1330,3,0,0,0,0,1,4
LOC_Os01g01930.MSUR7,11,10,399,140,432,10,0,16,0,43,374,320
LOC_Os01g01940.MSUR7,34,10,1203,410,844,20,1,10,1,129,300,1947
LOC_Os01g01950.MSUR7,5,0,58,76,108,2,8,16,4,10,64,86
LOC_Os01g01960.MSUR7,5250,3686,26008,34568,29518,585,29995,32852,7140,29661,30776,42939
LOC_Os01g01970.MSUR7,895,416,5385,4849,4455,42,14711,9394,663,3381,3105,7443
LOC_Os01g01980.MSUR7,1,2,2,0,0,0,0,9,0,4,5,48
LOC_Os01g01990.MSUR7,2,0,5,0,0,0,0,0,0,0,0,43
LOC_Os01g02000.MSUR7,611,212,1402,706,2146,16,3609,981,13,3964,1250,8174
LOC_Os01g02010.MSUR7,1018,306,24334,563,38557,136,3318,39028,1929,2717,622,146549
LOC_Os01g02020.MSUR7,1598,597,11547,20941,18298,543,10247,25885,4070,11225,23289,12006
LOC_Os01g02050.MSUR7,0,6,2896,529,584,63,44,296,0,68,230,4570
LOC_Os01g02060.MSUR7,6,4,291,40,345,6,49,4915,6,20,7,1479
LOC_Os01g02070.MSUR7,14,2,46,116,112,0,27,4,1,283,11,329
