/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179197.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179198.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179199.sra.uniq.bam
694	1029	187
316887	65291	26475
110	319	30
0	0	0
9463	14041	2455
1247	3604	259
2256	4708	575
552	358	389
8	227	20
40	122298	4
233	2794	267
8577	8018	550
18	59	24
4944	10517	1630
7	8	1
639	911	164
406	27626	54
0	0	0
6	14	0
0	2	0
0	0	0
2684	3858	765
2655	4855	1224
37767	30728	4615
0	2	0
1	1541	25
22648	15325	2451
2139	5356	3352
3666	3405	3491
226	464	4189
59	232	2035
30	23	1
174	12	206
11553	6629	1870
0	130	6
0	0	0
2	0	11
4	0	1
4696	14808	2455
8	28	2
17170	18734	5081
1848	3325	395
2	601	294
0	0	0
6217	5147	1552
2571	5510	525
2136	4562	407
209	1211	120
9580	64216	12188
0	1	0
22	487	6
0	0	0
0	0	0
87	1580	5
49	216	0
15	122	0
102	2365	4
16053	4471	361
0	0	0
12703	2829	561
4751	8705	775
2	140	24
2	3	0
8	74	7
28388	96733	5233
64291	4063	2
3225	11089	1995
6622	36555	3269
17930	23490	3611
463	1402	224
654	792	210
310	11166	1438
12978	1031	3568
4	1	0
2	32	0
100	268	117
570	8183	435
0	0	0
2	2	0
14	50	4
0	0	0
1	50	2
381	605	43
873	1017	94
5312	2148	103
3233	6743	1114
5404	4848	1071
492	819	148
428	1731	874
64	279	0
226	58	160
124	2171	312
248	398	8
1628	21131	1072
10293	17297	1126
7	11	26
2	6	138
0	0	1
0	2	0
0	0	0
4	12	218
0	23	4
770	3379	173
853	2756	145
50	63	2
867	2108	492
0	2	0
302	335	56
684	1941	234
35	24	2
886	992	95
38	22	0
42	217	33
1656	1876	109
15466	25596	3736
0	0	0
0	0	0
2	162	66
0	0	0
2	1	0
1312	2007	200
6	84	90
6	0	0
3104	9060	1774
227	105	0
4	22	0
10660	3104	301
11160	10590	1322
7	1	2
2	1	0
2002	269	680
3310	9506	464
4222	4680	300
0	188	0
6147156	84201	4270
0	2	0
8579	11628	670
374	661	1072
13106	4715	1883
30	113	35
0	89	0
0	85	0
0	3905	0
2020	59152	24
495	723	1170
307	768	1165
0	0	0
5310	370	48
132	18	2
58	188	18
3134	16420	1446
1152	2551	87
147	300	14
0	0	0
0	0	0
1	0	0
3760	4443	1350
2028	3510	302
4	1	0
0	0	0
104	2	0
0	0	0
3	0	0
330	268	72
2314	64	4
4848	3477	524
3583	1092	39
1780	890	3
24234	18569	2405
201	207	294
4310	10357	1298
0	380	78
75	234	42
2	5	12
892	1498	133
1244	2678	67
2022	3411	185
54	185	10
241	1809	78
102	552	166
1910	4003	310
2	32	1
12	45	0
20	34	2
3	3	0
2	14	353
0	0	0
8079	50844	2207
15070	3379	226
5602	11568	852
4080	4160	160
4907	11572	1022
0	0	0
104	337	87
7103	736	4
0	0	0
2	0	1
0	250	0
2	229	10
21	1158	10
31898	38021	1482
9453	36969	204
3712	1762	29
457	2590	169
0	1	0
0	3	2
0	19	13
158	889	585
30	529	84
0	0	0
0	0	0
0	0	0
7836	8027	928
175	15380	0
272	830	22
0	0	0
0	2	4
4	37	1
0	2	2
4	0	0
791	182	50
97	4614	65
7871	12627	1800
6120	7135	861
4359	1116	86
1038	660	686
3002	6003	92
0	0	0
7097	5213	1536
182	137	4
172	166	45
0	0	0
15	94	80
0	0	0
42	6213	3
0	15	1
1	201	0
1	393	2
12	21	4
0	8	2
92	32	2
2	5	14
458	7918	155
16	12	8
0	6	91
0	35	36
38	262	5
0	176	26
55	63	12
3447	3875	553
19115	32163	3655
385	252	1936
91	2953	18
17730	6818	518
2243	4914	421
2040	2072	261
342	585	46
1234	1435	186
359	446	31
4	384	122
0	0	0
0	9056	1
0	23	1
2	8	4
2	197	17
14424	16698	1394
4369	1735	228
1466	749	926
0	51	104
0	0	0
671	170	165
0	37	0
1	3	20
768	2073	110
3748	3551	298
5732	916	74
99349	13060	1168
10264	1728	12
2271	948	16
2541	1064	62
2	2	1
33	252	40
651	5024	257
4920	521	176
1987	2831	621
50	116	5
382	389	109
0	0	0
2828	1035	12
68	38	9
13	42	12
