IDENTIFIER	log2FoldChange
loc_os02g19700.1|pacid:24132309	2.93623717016303
loc_os02g19970.1|pacid:24133491	-3.33066826555735
loc_os02g19980.1|pacid:24134100	-3.6692813596719
loc_os02g20934.1|pacid:24129359	4.58324672095559
loc_os02g21820.1|pacid:24129051	6.82255812549178
loc_os02g21830.1|pacid:24131489	5.69200552034206
loc_os02g22000.1|pacid:24131957	5.62016078976699
loc_os02g22580.1|pacid:24133884	-1.44771239398683
loc_os02g23826.1|pacid:24129145	6.99284066678603
loc_os02g25590.1|pacid:24130953	-3.07501208575418
loc_os02g25600.1|pacid:24130724	-3.91526292847063
loc_os02g25650.1|pacid:24135051	3.87459513181371
loc_os02g26120.1|pacid:24135128	-7.43516153387942
loc_os02g27170.1|pacid:24134165	-4.51267010112097
loc_os02g27400.1|pacid:24135104	-3.59220291661516
loc_os02g27500.1|pacid:24129350	3.46607768006087
loc_os02g27790.1|pacid:24132557	-2.79714845473525
loc_os02g29090.1|pacid:24133533	-4.14699313822038
loc_os02g29150.1|pacid:24129076	4.01637053089989
loc_os02g29290.1|pacid:24133152	4.64791424720358
loc_os02g29300.1|pacid:24133329	4.97952700193728
loc_os02g29960.1|pacid:24129380	2.75195816401293
loc_os02g30114.1|pacid:24128988	2.52275117309548
loc_os02g30790.1|pacid:24134320	3.54028449446155
loc_os02g33170.1|pacid:24131962	-4.10484587245972
loc_os02g33310.1|pacid:24130363	1.82315603065527
loc_os02g33400.1|pacid:24130766	-1.9864520676171
loc_os02g33540.1|pacid:24130173	-6.43040423563801
loc_os02g33640.1|pacid:24134087	2.07458199402193
loc_os02g33830.1|pacid:24130366	-2.06588592244703
loc_os02g35530.1|pacid:24134483	-1.41271336620904
loc_os02g36250.1|pacid:24134222	3.95533481979609
loc_os02g37360.1|pacid:24129511	4.33672561318526
loc_os02g37540.1|pacid:24134691	5.05979933192988
loc_os02g37710.1|pacid:24131652	4.02553728070229
loc_os02g38386.1|pacid:24135309	1.94295196225769
loc_os02g38392.1|pacid:24133805	2.50693134223093
loc_os02g38470.1|pacid:24130956	-3.31080381150293
loc_os02g38780.1|pacid:24133399	-4.07513040403599
loc_os02g38790.1|pacid:24134794	-4.27048905823793
loc_os02g38804.1|pacid:24134075	-2.17518676918173
loc_os02g39590.1|pacid:24133539	-3.41258937165747
loc_os02g39640.1|pacid:24129799	3.99888630429934
loc_os02g39790.2|pacid:24129578	1.13840364492466
loc_os02g39880.1|pacid:24129773	-1.02167953996043
loc_os02g40260.1|pacid:24133022	-3.4187042433939
loc_os02g40680.1|pacid:24129498	-1.30233396179519
loc_os02g40940.1|pacid:24130348	4.58036104249672
loc_os02g41490.1|pacid:24132923	4.41734765664464
loc_os02g41760.1|pacid:24135120	2.11288358032548
loc_os02g43100.1|pacid:24133644	3.80673150998829
loc_os02g43560.1|pacid:24132170	1.6576920164075
loc_os02g43820.1|pacid:24134833	2.62325167473786
loc_os02g44320.1|pacid:24132203	-3.85303853596998
loc_os02g44700.1|pacid:24129035	2.85460233250108
loc_os02g44704.2|pacid:24132849	-1.22255195605658
loc_os02g44780.1|pacid:24134422	1.12019618302486
loc_os02g45270.1|pacid:24134990	3.85376662514874
loc_os02g45830.1|pacid:24131555	-6.10462092961827
loc_os02g46260.1|pacid:24134890	-3.09234754498664
loc_os02g46310.1|pacid:24130311	3.38201219870995
loc_os02g46400.1|pacid:24133507	-5.43416027584212
loc_os02g46830.1|pacid:24130793	-1.93258032655968
loc_os02g47510.1|pacid:24130270	1.51199448659602
loc_os02g47605.1|pacid:24134527	1.15010371352762
loc_os02g47620.1|pacid:24130051	2.6068960387891
loc_os02g48950.1|pacid:24131148	-3.54240793346111
loc_os02g49326.1|pacid:24132715	1.28868178257007
loc_os02g49470.1|pacid:24132348	1.26025092059946
loc_os02g49640.1|pacid:24131996	-6.08886275137927
loc_os02g50670.1|pacid:24133081	-2.90223208488106
loc_os02g51070.1|pacid:24131991	1.38005431304655
loc_os02g51480.1|pacid:24130641	1.32690234397751
loc_os02g52150.1|pacid:24134097	-2.70941388251987
loc_os02g52300.1|pacid:24133681	1.003353417542
loc_os02g53384.1|pacid:24132098	8.39793926286623
loc_os02g53850.1|pacid:24133840	-4.01655936112075
loc_os02g54100.1|pacid:24133898	-2.75207338962673
loc_os02g54940.1|pacid:24130328	8.42360049435184
loc_os02g55380.1|pacid:24130408	2.61010949824448
loc_os02g55820.1|pacid:24134612	-4.56571744910381
loc_os02g56370.1|pacid:24135263	2.90451395975082
loc_os02g56630.1|pacid:24132600	-2.81238659159965
loc_os02g56970.1|pacid:24131986	1.59049204961133
loc_os02g57330.1|pacid:24132227	1.38255704493946
loc_os02g57800.1|pacid:24133811	-1.56316130792262
loc_os02g57860.1|pacid:24135283	-4.1419483898346
loc_os03g01260.1|pacid:24126644	2.78294859247585
loc_os03g01360.3|pacid:24126250	-5.40124490584427
loc_os03g01365.1|pacid:24126742	-5.32895756757862
loc_os03g01410.1|pacid:24127191	-3.9440343228972
loc_os03g01420.1|pacid:24122468	-6.77088071905432
loc_os03g01490.1|pacid:24121922	-8.59490787360378
loc_os03g01820.1|pacid:24128376	3.67642452481871
loc_os03g01870.1|pacid:24126886	2.94664210416941
loc_os03g02700.1|pacid:24123175	-3.43592682911273
loc_os03g03470.1|pacid:24126112	1.51833773156273
loc_os03g03490.1|pacid:24123706	2.69665164836096
loc_os03g03810.1|pacid:24128663	2.09993494495225
loc_os03g03840.1|pacid:24126547	3.85506245933026
loc_os03g04060.1|pacid:24125791	2.97538406252818
loc_os03g04470.1|pacid:24122321	1.73973874772094
loc_os03g04630.1|pacid:24125591	-4.40333003051089
loc_os03g04740.1|pacid:24127311	-2.71467933515354
loc_os03g05130.1|pacid:24125347	5.27285388655117
loc_os03g05220.2|pacid:24127883	-6.46355473799356
loc_os03g05380.1|pacid:24126722	-3.98264346999461
loc_os03g05750.1|pacid:24123122	-2.20336438080972
loc_os03g07270.1|pacid:24122986	5.63297136495997
loc_os03g07730.1|pacid:24124087	-4.73362624643886
loc_os03g07950.1|pacid:24124832	4.36525241536798
