/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174772.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174773.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174777.sra.uniq.bam
23360	33269	164
9575	10901	128
2563	5943	166
1131	6740	253
0	0	0
0	0	39
0	0	0
0	1	0
0	1893	28
13852	11490	225
2783	2567	91
0	2	0
14424	15881	343
2093	618	2
1924	1618	17
10	13	0
50	1955	145
16	793	166
31583	4241	44
64	161	0
415	770	7
120	1101	6
6351	8726	117
8	193	0
0	0	0
19	82	2
0	29	0
0	121	0
15693	4299	91
7	6	1
8462	5411	76
18509	4022	34
4823	13526	162
61234	70167	884
3712	810	4
3540	2184	18
2725	319	4
34296	3169	10
15459	20756	422
2	0	0
9227	14557	160
11380	6437	78
2495	1654	16
54	236	2
13515	29774	263
1178	1269	36
2	6	0
4957	1678	60
3667	5685	90
37477	48212	501
1669	14639	148
51	1656	14
1	264	2
2955	42271	26
3891	56328	121
0	4	0
4285	343	13
2057	1834	15
2352	3677	64
118	267	3
4	67	11
17	81	9
8	268	57
649	726	26
4	67	99
0	0	0
27	531	18
13915	12336	195
95	663	16
0	0	0
763	11556	97
20937	13345	324
7419	6315	76
2515	1793	44
2476	705	8
988	3420	36
7860	13827	190
1	35	0
1327	1444	28
1738	3686	352
1	51	0
1438	898	4
54	672	12
0	1	0
7317	12770	146
18001	28944	469
5534	2690	85
9361	9332	154
7550	29351	339
7290	16443	348
11261	2388	52
108	121	2
130	156	0
3785	12135	82
721	1650	32
386	499	6
1284	813	15
34658	41525	1203
5	0	2
5130	4995	106
0	2	0
359	798	0
4	6	0
0	0	0
0	0	0
104	79	84
11350	13803	317
450	480	38
773	608	13
1493	1925	26
309100	192692	1240
628	2181	4
6	0	0
14869	11372	270
1670	2757	84
3602	5415	106
679	2793	31
4	64	4
16	1973	2
646	938	8
4803	5367	89
10	69	17
9742	19240	194
15	12	0
3472	5237	43
377	1626	68
588	383	8
273	6	2
3603	1983	8
0	0	0
9450	20939	117
10004	23354	182
38269	55903	694
0	0	0
84	182	2
38273	35191	401
9173	15305	861
6088	5091	207
2292	1117	473
56	17	136
2	12	0
246	2032	8
11928	7738	109
0	23	0
5	0	2
5	2	2
291	6	2
17326	19242	540
714	5995	61
17962	21997	438
6415	4720	65
8	170	65
730	54	19
14407	13076	138
17930	23385	233
2598	1836	47
655	336	16
92191	32198	953
0	2	0
698	526	2
0	0	0
0	16	0
0	8524	0
0	59	0
0	2	0
31	8615	0
24341	16746	127
5	1	0
10038	12409	48
2085	6961	108
14	79	38
0	2	0
451	700	13
39672	122855	1532
55729	68063	222
6466	5739	58
18590	34445	1340
29880	27347	313
20	354	139
2686	2246	14
34191	44263	396
23174	2179	44
2	2	0
64	1107	23
258	626	12
1725	3782	88
2	2	0
0	0	0
723	15	0
0	0	0
0	57	0
835	757	109
1837	1440	24
6072	3757	28
1957	4900	54
10993	5910	121
143	476	44
1885	11046	78
0	2	0
3348	530	81
2724	4391	94
37	246	4
511	15309	136
20152	38051	382
0	124	4
58	76	2
2	0	0
0	1	0
0	0	0
131	278	8
0	82	11
3834	4242	62
1974	4927	92
107	72	6
6050	5220	87
0	0	0
712	1804	44
4334	7047	88
26	101	2
4938	5529	58
78	393	12
564	856	23
3325	1341	11
30021	25148	296
0	1	2
3	0	0
24	1324	28
2	106	0
1	0	0
29353	23059	386
19	258	10
2	3	0
31195	16329	368
149	41	0
31	3	0
13776	8590	69
9528	9067	153
1229	579	11
11	12	0
4040	3396	94
1573	2931	100
5503	7506	56
11	48	4
3450802	1747999	5252
2	441	0
8915	9935	117
1262	6053	100
17392	937	112
100	86	6
2	309	351
0	2	0
0	5020	28
5644	44500	656
7	17	3
1758	2590	97
129	9	2
7539	3908	16
386	45	6
457	172	8
7676	13790	258
1533	1409	21
86	454	6
4	1	0
0	0	0
1	14	0
8473	1783	43
4567	3070	70
1741	101	34
196	10	8
0	17	1
0	0	0
0	9	1
432	22	0
0	104	11
5050	7938	63
1361	2097	13
2318	2766	39
20143	31067	571
840	1405	10
16362	16658	312
68	144	22
4819	4784	18
33	100	0
1741	3251	46
16914	4295	372
671	1254	86
428	180	14
1118	3178	66
0	22	0
2738	5027	76
2	139	8
16	53	0
112	148	0
125	48	2
1	76	6
63	0	0
6854	14943	265
44704	17519	221
6569	6006	88
2032	3157	30
7069	12715	132
2	1658	0
1035	351	0
16240	3387	32
101	2	0
23	4	2
1	19	0
3	528	8
23	3844	30
61330	42992	198
39843	151162	634
3546	824	19
528	1031	27
8	4	2
0	10	0
0	0	2
178	1439	331
123	152	138
27	140	6
4	0	0
0	1	0
5005	11607	250
9	8232	83
1725	4011	36
17	43	0
0	244	4
0	24	1
0	8	0
0	0	0
687	557	4
825	2033	64
24733	19441	250
8684	6916	100
12322	6716	36
1287	1016	21
7260	15999	66
0	0	0
31377	7402	394
69	3	8
1485	611	2
53	0	0
114	3082	53
0	2	0
