/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170742.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170744.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170762.sra.uniq.bam
LOC_Os01g01150.MSUR7	2960	1388	9760
LOC_Os01g01160.MSUR7	3944	92	4166
LOC_Os01g01170.MSUR7	63	50	702
LOC_Os01g01180.MSUR7	5	0	12
LOC_Os01g01190.MSUR7	2	48	1715
LOC_Os01g01280.MSUR7	998	82	1930
LOC_Os01g01290.MSUR7	71	2	202
LOC_Os01g01295.MSUR7	775	251	3969
LOC_Os01g01302.MSUR7	12483	395	14768
LOC_Os01g01307.MSUR7	3200	2201	26911
LOC_Os01g01340.MSUR7	154492	6537	188523
LOC_Os01g01350.MSUR7	163	48	1986
LOC_Os01g01360.MSUR7	181	309	628
LOC_Os01g01369.MSUR7	917	1304	5150
LOC_Os01g01380.MSUR7	195	215	1041
LOC_Os01g01390.MSUR7	917	237	5689
LOC_Os01g01400.MSUR7	1099	273	4948
LOC_Os01g01410.MSUR7	1272	609	6498
LOC_Os01g01420.MSUR7	7986	1279	24611
LOC_Os01g01430.MSUR7	4	100	13
LOC_Os01g01440.MSUR7	0	1	1
LOC_Os01g01450.MSUR7	8982	1736	68506
LOC_Os01g01470.MSUR7	0	0	655
LOC_Os01g01484.MSUR7	1636	370	3781
LOC_Os01g01500.MSUR7	0	0	0
LOC_Os01g01510.MSUR7	763	938	7623
LOC_Os01g01520.MSUR7	2	198	351
LOC_Os01g01570.MSUR7	0	0	4
LOC_Os01g01580.MSUR7	0	0	0
LOC_Os01g01590.MSUR7	0	0	0
LOC_Os01g01600.MSUR7	6	6	53
LOC_Os01g01610.MSUR7	706	148	3444
LOC_Os01g01620.MSUR7	2392	1543	12089
LOC_Os01g01640.MSUR7	2696	1142	17389
LOC_Os01g01650.MSUR7	12	13	2825
LOC_Os01g01660.MSUR7	82	12	4038
LOC_Os01g01670.MSUR7	505	199	3634
LOC_Os01g01680.MSUR7	70	76	936
LOC_Os01g01689.MSUR7	225	601	2667
LOC_Os01g01700.MSUR7	3279	992	19805
LOC_Os01g01710.MSUR7	35740	2750	26523
LOC_Os01g01720.MSUR7	1312	497	5259
LOC_Os01g01730.MSUR7	0	0	1
LOC_Os01g01740.MSUR7	72	313	2538
LOC_Os01g01760.MSUR7	0	0	0
LOC_Os01g01770.MSUR7	12	0	103
LOC_Os01g01780.MSUR7	137	42	1075
LOC_Os01g01790.MSUR7	4781	878	10357
LOC_Os01g01800.MSUR7	931	596	4124
LOC_Os01g01810.MSUR7	0	0	0
LOC_Os01g01830.MSUR7	1790	1019	9056
LOC_Os01g01840.MSUR7	31	0	25
LOC_Os01g01870.MSUR7	1619	78	566
LOC_Os01g01880.MSUR7	0	0	2
LOC_Os01g01890.MSUR7	8	28	551
LOC_Os01g01910.MSUR7	116	96	525
LOC_Os01g01920.MSUR7	1839	300	5162
LOC_Os01g01925.MSUR7	18	12	250
LOC_Os01g01930.MSUR7	11	10	399
LOC_Os01g01940.MSUR7	34	10	1203
LOC_Os01g01950.MSUR7	5	0	58
LOC_Os01g01960.MSUR7	5250	3686	26008
LOC_Os01g01970.MSUR7	895	416	5385
LOC_Os01g01980.MSUR7	1	2	2
LOC_Os01g01990.MSUR7	2	0	5
LOC_Os01g02000.MSUR7	611	212	1402
LOC_Os01g02010.MSUR7	1018	306	24334
LOC_Os01g02020.MSUR7	1598	597	11547
LOC_Os01g02050.MSUR7	0	6	2896
LOC_Os01g02060.MSUR7	6	4	291
LOC_Os01g02070.MSUR7	14	2	46
LOC_Os01g02080.MSUR7	358	80	1592
LOC_Os01g02090.MSUR7	1685	1135	11053
LOC_Os01g02110.MSUR7	0	22	12
LOC_Os01g02120.MSUR7	0	0	2
LOC_Os01g02130.MSUR7	244	32	47
LOC_Os01g02139.MSUR7	73	355	2646
LOC_Os01g02150.MSUR7	294	1090	11466
LOC_Os01g02160.MSUR7	0	22	604
LOC_Os01g02170.MSUR7	240	94	3462
LOC_Os01g02180.MSUR7	584	474	4446
LOC_Os01g02190.MSUR7	2	8	12
LOC_Os01g02200.MSUR7	1924	1356	10175
LOC_Os01g02250.MSUR7	0	0	25
LOC_Os01g02270.MSUR7	0	0	1
LOC_Os01g02280.MSUR7	2	0	1
LOC_Os01g02290.MSUR7	2	367	190
LOC_Os01g02300.MSUR7	12	455	609
LOC_Os01g02310.MSUR7	46	194	271
LOC_Os01g02320.MSUR7	432	221	3076
LOC_Os01g02334.MSUR7	10	20	232
LOC_Os01g02350.MSUR7	289	47	1606
LOC_Os01g02360.MSUR7	1	1	2
LOC_Os01g02370.MSUR7	427	80	869
LOC_Os01g02390.MSUR7	544	719	4133
LOC_Os01g02400.MSUR7	896	375	3645
LOC_Os01g02410.MSUR7	0	0	3
LOC_Os01g02420.MSUR7	6	2	5
LOC_Os01g02430.MSUR7	16	4	20
