/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171629.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171630.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171631.sra.uniq.bam
23	0	5
0	0	0
0	0	3
1301	2671	2747
2075	2232	3858
69	423	772
29	130	119
1	42	213
0	0	0
2	15	110
5	2	5
74	1157	489
3937	5930	8324
2302	390	1371
2782	0	2598
12655	20386	34250
273	1344	787
5041	15002	23914
0	2	1652
378	2639	6432
1	23	8
307	1121	3254
9158	400	11938
345	238	8277
165	528	598
418	602	5769
4	26	26
1304	648	2842
1	0	285
3	0	150
48	21	167
130	0	42
0	90	226
0	0	0
5518	8648	38529
41919	14950	6985
2868	5542	8398
1957	4824	4583
4223	8233	22689
6	11	2754
166	4	353
3022	1180	3898
0	0	2
0	0	0
0	0	2
2	0	668
7	2	6616
10937	3984	18237
37092	1442	78785
2280	479	1342
135	783	1882
0	15	114
0	4	3
0	12	38
489	3660	2486
21	18	2184
3	21	247
0	0	1
6	24	97
795	5376	13522
4	0	11551
0	138	3727
11	14	92
0	8	106
0	0	457
0	16	6
2	0	15
1232	3332	195
148	8	3886
3311	35529	13326
5989	8194	8974
9673	2525	5297
5700	4786	443
60	921	14487
0	1	0
9457	35552	7863
251	2088	502
593	46	744
0	0	0
0	46	3736
0	0	1
0	2	10382
0	10	1
0	0	1217
0	5	58
0	125	52
0	2	0
1	15	6
0	20	26
601	3859	10351
38	284	170
1	2	6
1	0	0
6	8	78
480	18	2247
2	2	1
1844	6746	12469
15050	21907	38519
1563	13156	688
34	1438	12091
25920	3242	7329
4554	3869	6169
3701	4593	8223
346	980	2271
809	2220	4994
90	149	391
44	11085	4054
0	3	1
0	1	1797
0	1	1085
135	115	445
463	1260	2609
36627	6629	13938
3289	6201	15968
8635	33992	9104
1	80	5
0	0	0
525	94	44
0	10	18
1	3	2
620	7277	2228
1337	4529	4553
8253	262	6822
22804	7025	12486
